駅,えき,station
後,あと,afterwards
雨,あめ,rain
行く,いく,to go
一,いち,one
一日,ついたち, first of the month
五日,いつか,fifth day of the month
五つ,いつつ,five
今,いま,now
入れる,いれる,to put in
上,うえ,on top of
後ろ,うしろ,behind
生まれる,うまれる,to be born
大きい,おおきい,big
大きな,おおきな,big
お母さん,おかあさん,(honorable) mother
お金,おかね,money
お父さん,おとうさん,(honorable) father
男,おとこ,Man
男の子,おとこのこ,Boy
大人,おとな,Adult
女,おんな,Woman
女の子,おんなのこ,Girl
外国,がいこく,foreign country
外国人,がいこくじん,Foreigner
書く,かく,to write
学生,がくせい,Student
学校,がっこう,School
川,かわ,River
木,き,tree, wood
聞く,きく,to hear
北,きた,North
九,きゅう,Nine
今日,きょう,Today
国,くに,Country
来る,くる,to come
車,くるま,car
五,ご,Five
午後,ごご,afternoon
九日,ここのか,nine days
九つ,ここのつ,Nine
午前,ごぜん,morning
今年,ことし,this year
今月,こんげつ,this month
先,さき,the future
八円,はちえん,eight yen
三,さん,Three
四,よん,Four
時間,じかん,Time
下,した,Below
七,なな,Seven
十,じゅう,Ten
白,しろ,White
白い,しろい,White
千,せん,Thousand
先月,せんげつ,last month
先生,せんせい,teacher
外,そと,Outside
大学,だいがく,university
高い,たかい,tall
出す,だす,to put out
食べる,たべる,to eat
小さい,ちいさい,little
小さな,ちいさな,little
出かける,でかける,to go out
出る,でる,to leave
天気,てんき,weather
電気,でんき,electricity
電車,でんしゃ,electric train
電話,でんわ,telephone
十日,とおか,the tenth day
時々,ときどき,sometimes
年,とし,year
中,なか,middle
長い,ながい,long
七つ,ななつ,seven
七日,なのか, the seventh day
名前,なまえ,name
何,なん,what
二,に,two
西,にし,west
入る,はいる,to enter
八,はち,eight
二十日,はつか,twentieth
話,はなし,talk, story
話す,はなす,to speak
半,はん,half
東,ひがし,east
左,ひだり,left hand side
人,ひと,person
一つ,ひとつ,one
一月,いちがつ,January
一人,ひとり,one person
百,ひゃく,hundred
二つ,ふたつ,two
二人,ふたり,two people
二日,ふつか,second day of the month
本,ほん,book
飲む,のむ,to drink
毎日,まいにち,every day
飲み物,のみもの,drink
前,まえ,before
食べ物,たべもの,food
万,まん,ten thousand
右,みぎ,right side
水,みず,water
見せる,みせる,to show
三日,みっか,third day of the month
三つ,みっつ,three
南,みなみ,south
見る,みる,to see, to watch
六日,むいか,sixth day of the month
六つ,むっつ,six
休み,やすみ,rest
休む,やすむ,to rest
八つ,やっつ,eight
山,やま,mountain
八日,ようか,eighth day of the month
四日,よっか,fouth day of the month
四つ,よっつ,four
読む,よむ,to read
来月,らいげつ,next month
来年,らいねん,next year
六,ろく,six
お兄さん,おにいさん,older brother
お姉さん,おねえさん,elder sister
お手洗い,おてあらい,toilet
お茶,おちゃ,tea
風,かぜ,wind
乗る,のる,to get on
仕事,しごと,work
雪,ゆき,snow
元気,げんき,lively
兄,あに,elder brother
冬,ふゆ,winter
初めて,はじめて,for the first time
友達,ともだち,friend
取る,とる,to take
口,くち,mouth
難しい,むずかしい,difficult
土曜日,どようび,Saturday
売る,うる,to sell
夏,なつ,summer
閉まる,しまる,to be shut
好き,すき,liking
妹,いもうと,younger sister
金曜日,きんようび,Friday
部屋,へや,room
子,こ,child
安い,やすい,cheap
家,うち,house
寒い,さむい,cold
少し,すこし,small quantity
遠い,とおい,far
帰る,かえる,to return
店,みせ, shop
道,みち,road
忘れる,わすれる,to forget
忙しい,いそがしい,busy
遅い,おそい,slow
手,て,hand
走る,はしる,to run
赤ちゃん,あかちゃん,baby
買う,かう,to buy
日曜日,にちようび,Sunday
月曜日,げつようび,Monday
言葉,ことば,language
映画,えいが,movie
春,はる,spring
時,とき,time
月,つき,moon
言う,いう,to say
木曜日,もくようび,Thursday
覚える,おぼえる,to memorize
見える,みえる,to be seen
歌,うた,song
歌う,うたう,to sing
止まる,とまる,to stop (moving)
歩く,あるく,to walk
英語,えいご,English (language)
母,はは,mother
水曜日,すいようび,Wednesday
洗う,あらう,to wash
海,うみ,sea
消える,きえる,to go out
消す,けす,to erase
肉,にく,flesh
火曜日,かようび,Tuesday
父,ちち,father
犬,いぬ,dog
猫,ねこ,cat
生きる,いきる,to live
生徒,せいと,pupil
目,め,eye
耳,みみ,ear, hearing, edge
私,わたし,I
答える,こたえる,to answer
窓,まど,window
魚,さかな,fish
今週,こんしゅう,this week
足,あし,foot, leg
花,はな,flower
立つ,たつ,to stand
空,そら,sky
会社,かいしゃ,company, corporation
新しい,あたらしい,new
多い,おおい,many
古い,ふるい,old
一分,いっぷん,one minute
二分,にふん,two minutes
三分,さんぷん,three minutes
四分,よんぷん,four minutes
五分,ごふん,five minutes
六分,ろっぷん,six minutes
七分,ななふん,seven minutes
八分,はっぷん,eight minutes
九分,きゅうふん,nine minutes
会う,あう,to meet, to see

